index[int64],name[object],energy[J][float64],diffusivity[float64],permeability[float64]
0,CO2,10000.0,1.0,1.0
1,NADPH,200000.0,0.1,0.0
2,NADP,130000.0,0.1,0.0
3,ATP,100000.0,0.1,0.0
4,ADP,65000.0,0.1,0.0
5,acetyl-CoA,475000.0,0.1,0.0
6,HS-CoA,190000.0,0.1,0.0
7,pyruvate,330000.0,0.1,0.0
8,G3P,420000.0,0.1,0.0
9,X,50000.0,0.1,0.0
10,E,150000.0,0.1,0.0
11,RuBP,725000.0,0.1,0.0
12,3PGA,350000.0,0.1,0.0
13,"1,3BPG",370000.0,0.1,0.0
14,Ru5P,695000.0,0.1,0.0
15,methyl-FH4,410000.0,0.1,0.0
16,methylen-FH4,355000.0,0.1,0.0
17,formyl-FH4,295000.0,0.1,0.0
18,FH4,200000.0,0.1,0.0
19,formate,70000.0,0.1,0.0
20,CO,75000.0,1.0,1.0
21,malonyl-CoA,495000.0,0.1,0.0
22,propionyl-CoA,675000.0,0.1,0.0
23,methylmalonyl-CoA,685000.0,0.1,0.0
24,succinyl-CoA,685000.0,0.1,0.0
25,succinate,485000.0,0.1,0.0
26,fumarate,415000.0,0.1,0.0
27,malate,415000.0,0.1,0.0
28,malyl-CoA,615000.0,0.1,0.0
29,glyoxylate,140000.0,0.1,0.0
30,methylmalyl-CoA,810000.0,0.1,0.0
31,citramalyl-CoA,810000.0,0.1,0.0
32,oxalacetate,350000.0,0.1,0.0
33,alpha-ketoglutarate,540000.0,0.1,0.0
34,isocitrate,600000.0,0.1,0.0
35,citrate,600000.0,0.1,0.0
36,PEP,350000.0,0.1,0.0
37,SSA,535000.0,0.1,0.0
38,GHB,600000.0,0.1,0.0
39,hydroxybutyryl-CoA,825000.0,0.1,0.0
40,acetoacetyl-CoA,760000.0,0.1,0.0
